essay_id,essay_set,trait,score,rater
8863,4,content,0,human1
8863,4,language,0,human1
8863,4,narrativity,0,human1
8863,4,prompt_adherence,0,human1
8864,4,content,0,human1
8864,4,language,0,human1
8864,4,narrativity,0,human1
8864,4,prompt_adherence,0,human1
8865,4,content,3,human1
8865,4,language,3,human1
8865,4,narrativity,3,human1
8865,4,prompt_adherence,3,human1
8866,4,content,3,human1
8866,4,language,2,human1
8866,4,narrativity,2,human1
8866,4,prompt_adherence,3,human1
8867,4,content,2,human1
8867,4,language,2,human1
8867,4,narrativity,2,human1
8867,4,prompt_adherence,2,human1
8868,4,content,2,human1
8868,4,language,0,human1
8868,4,narrativity,1,human1
8868,4,prompt_adherence,1,human1
8869,4,content,0,human1
8869,4,language,1,human1
8869,4,narrativity,0,human1
8869,4,prompt_adherence,0,human1
8870,4,content,3,human1
8870,4,language,2,human1
8870,4,narrativity,2,human1
8870,4,prompt_adherence,2,human1
8871,4,content,0,human1
8871,4,language,0,human1
8871,4,narrativity,0,human1
8871,4,prompt_adherence,0,human1
8872,4,content,1,human1
8872,4,language,1,human1
8872,4,narrativity,1,human1
8872,4,prompt_adherence,1,human1
8873,4,content,2,human1
8873,4,language,1,human1
8873,4,narrativity,2,human1
8873,4,prompt_adherence,1,human1
8874,4,content,0,human1
8874,4,language,0,human1
8874,4,narrativity,0,human1
8874,4,prompt_adherence,0,human1
8875,4,content,0,human1
8875,4,language,0,human1
8875,4,narrativity,0,human1
8875,4,prompt_adherence,0,human1
8876,4,content,2,human1
8876,4,language,3,human1
8876,4,narrativity,3,human1
8876,4,prompt_adherence,2,human1
8877,4,content,0,human1
8877,4,language,0,human1
8877,4,narrativity,0,human1
8877,4,prompt_adherence,0,human1
8878,4,content,1,human1
8878,4,language,1,human1
8878,4,narrativity,1,human1
8878,4,prompt_adherence,1,human1
8879,4,content,2,human1
8879,4,language,2,human1
8879,4,narrativity,2,human1
8879,4,prompt_adherence,2,human1
8880,4,content,0,human1
8880,4,language,0,human1
8880,4,narrativity,0,human1
8880,4,prompt_adherence,0,human1
8881,4,content,2,human1
8881,4,language,2,human1
8881,4,narrativity,2,human1
8881,4,prompt_adherence,3,human1
8882,4,content,0,human1
8882,4,language,1,human1
8882,4,narrativity,0,human1
8882,4,prompt_adherence,0,human1
8883,4,content,1,human1
8883,4,language,1,human1
8883,4,narrativity,1,human1
8883,4,prompt_adherence,1,human1
8884,4,content,0,human1
8884,4,language,0,human1
8884,4,narrativity,0,human1
8884,4,prompt_adherence,0,human1
8885,4,content,2,human1
8885,4,language,2,human1
8885,4,narrativity,2,human1
8885,4,prompt_adherence,2,human1
8886,4,content,1,human1
8886,4,language,1,human1
8886,4,narrativity,0,human1
8886,4,prompt_adherence,0,human1
8887,4,content,2,human1
8887,4,language,1,human1
8887,4,narrativity,1,human1
8887,4,prompt_adherence,1,human1
8888,4,content,0,human1
8888,4,language,1,human1
8888,4,narrativity,1,human1
8888,4,prompt_adherence,1,human1
8889,4,content,2,human1
8889,4,language,1,human1
8889,4,narrativity,1,human1
8889,4,prompt_adherence,1,human1
8890,4,content,3,human1
8890,4,language,2,human1
8890,4,narrativity,2,human1
8890,4,prompt_adherence,2,human1
8891,4,content,2,human1
8891,4,language,2,human1
8891,4,narrativity,2,human1
8891,4,prompt_adherence,2,human1
8892,4,content,0,human1
8892,4,language,1,human1
8892,4,narrativity,0,human1
8892,4,prompt_adherence,0,human1
8893,4,content,1,human1
8893,4,language,1,human1
8893,4,narrativity,1,human1
8893,4,prompt_adherence,1,human1
8894,4,content,0,human1
8894,4,language,0,human1
8894,4,narrativity,0,human1
8894,4,prompt_adherence,0,human1
8895,4,content,2,human1
8895,4,language,2,human1
8895,4,narrativity,3,human1
8895,4,prompt_adherence,2,human1
8896,4,content,1,human1
8896,4,language,1,human1
8896,4,narrativity,2,human1
8896,4,prompt_adherence,1,human1
8897,4,content,0,human1
8897,4,language,0,human1
8897,4,narrativity,0,human1
8897,4,prompt_adherence,0,human1
8898,4,content,2,human1
8898,4,language,0,human1
8898,4,narrativity,1,human1
8898,4,prompt_adherence,2,human1
8899,4,content,1,human1
8899,4,language,1,human1
8899,4,narrativity,1,human1
8899,4,prompt_adherence,1,human1
8900,4,content,0,human1
8900,4,language,1,human1
8900,4,narrativity,1,human1
8900,4,prompt_adherence,0,human1
8901,4,content,0,human1
8901,4,language,0,human1
8901,4,narrativity,0,human1
8901,4,prompt_adherence,0,human1
8902,4,content,2,human1
8902,4,language,2,human1
8902,4,narrativity,2,human1
8902,4,prompt_adherence,2,human1
8903,4,content,2,human1
8903,4,language,3,human1
8903,4,narrativity,3,human1
8903,4,prompt_adherence,3,human1
8904,4,content,2,human1
8904,4,language,2,human1
8904,4,narrativity,2,human1
8904,4,prompt_adherence,1,human1
8905,4,content,1,human1
8905,4,language,1,human1
8905,4,narrativity,1,human1
8905,4,prompt_adherence,1,human1
8906,4,content,2,human1
8906,4,language,2,human1
8906,4,narrativity,2,human1
8906,4,prompt_adherence,2,human1
8907,4,content,0,human1
8907,4,language,0,human1
8907,4,narrativity,0,human1
8907,4,prompt_adherence,0,human1
8908,4,content,0,human1
8908,4,language,1,human1
8908,4,narrativity,1,human1
8908,4,prompt_adherence,1,human1
8909,4,content,2,human1
8909,4,language,1,human1
8909,4,narrativity,1,human1
8909,4,prompt_adherence,1,human1
8910,4,content,0,human1
8910,4,language,0,human1
8910,4,narrativity,0,human1
8910,4,prompt_adherence,0,human1
8911,4,content,2,human1
8911,4,language,1,human1
8911,4,narrativity,1,human1
8911,4,prompt_adherence,1,human1
8912,4,content,1,human1
8912,4,language,2,human1
8912,4,narrativity,2,human1
8912,4,prompt_adherence,1,human1
8913,4,content,0,human1
8913,4,language,0,human1
8913,4,narrativity,0,human1
8913,4,prompt_adherence,0,human1
8914,4,content,1,human1
8914,4,language,2,human1
8914,4,narrativity,2,human1
8914,4,prompt_adherence,1,human1
8915,4,content,0,human1
8915,4,language,0,human1
8915,4,narrativity,0,human1
8915,4,prompt_adherence,0,human1
8916,4,content,0,human1
8916,4,language,1,human1
8916,4,narrativity,1,human1
8916,4,prompt_adherence,0,human1
8917,4,content,0,human1
8917,4,language,0,human1
8917,4,narrativity,0,human1
8917,4,prompt_adherence,0,human1
8918,4,content,1,human1
8918,4,language,1,human1
8918,4,narrativity,1,human1
8918,4,prompt_adherence,1,human1
8919,4,content,2,human1
8919,4,language,2,human1
8919,4,narrativity,3,human1
8919,4,prompt_adherence,2,human1
8920,4,content,0,human1
8920,4,language,0,human1
8920,4,narrativity,0,human1
8920,4,prompt_adherence,0,human1
8921,4,content,0,human1
8921,4,language,0,human1
8921,4,narrativity,0,human1
8921,4,prompt_adherence,0,human1
8922,4,content,2,human1
8922,4,language,2,human1
8922,4,narrativity,2,human1
8922,4,prompt_adherence,1,human1
8923,4,content,2,human1
8923,4,language,2,human1
8923,4,narrativity,3,human1
8923,4,prompt_adherence,2,human1
8924,4,content,1,human1
8924,4,language,1,human1
8924,4,narrativity,1,human1
8924,4,prompt_adherence,1,human1
8925,4,content,1,human1
8925,4,language,0,human1
8925,4,narrativity,1,human1
8925,4,prompt_adherence,1,human1
8926,4,content,1,human1
8926,4,language,0,human1
8926,4,narrativity,1,human1
8926,4,prompt_adherence,1,human1
8927,4,content,0,human1
8927,4,language,0,human1
8927,4,narrativity,0,human1
8927,4,prompt_adherence,0,human1
8928,4,content,1,human1
8928,4,language,1,human1
8928,4,narrativity,1,human1
8928,4,prompt_adherence,1,human1
8929,4,content,1,human1
8929,4,language,0,human1
8929,4,narrativity,1,human1
8929,4,prompt_adherence,1,human1
8930,4,content,0,human1
8930,4,language,1,human1
8930,4,narrativity,0,human1
8930,4,prompt_adherence,1,human1
8931,4,content,1,human1
8931,4,language,1,human1
8931,4,narrativity,1,human1
8931,4,prompt_adherence,1,human1
8932,4,content,0,human1
8932,4,language,0,human1
8932,4,narrativity,0,human1
8932,4,prompt_adherence,0,human1
8933,4,content,1,human1
8933,4,language,1,human1
8933,4,narrativity,1,human1
8933,4,prompt_adherence,1,human1
8934,4,content,0,human1
8934,4,language,0,human1
8934,4,narrativity,0,human1
8934,4,prompt_adherence,0,human1
8935,4,content,2,human1
8935,4,language,2,human1
8935,4,narrativity,2,human1
8935,4,prompt_adherence,2,human1
8936,4,content,0,human1
8936,4,language,0,human1
8936,4,narrativity,0,human1
8936,4,prompt_adherence,0,human1
8937,4,content,0,human1
8937,4,language,0,human1
8937,4,narrativity,0,human1
8937,4,prompt_adherence,0,human1
8938,4,content,0,human1
8938,4,language,0,human1
8938,4,narrativity,0,human1
8938,4,prompt_adherence,0,human1
8939,4,content,2,human1
8939,4,language,1,human1
8939,4,narrativity,1,human1
8939,4,prompt_adherence,2,human1
8940,4,content,2,human1
8940,4,language,1,human1
8940,4,narrativity,2,human1
8940,4,prompt_adherence,2,human1
8941,4,content,2,human1
8941,4,language,2,human1
8941,4,narrativity,2,human1
8941,4,prompt_adherence,2,human1
8942,4,content,0,human1
8942,4,language,1,human1
8942,4,narrativity,0,human1
8942,4,prompt_adherence,0,human1
8943,4,content,0,human1
8943,4,language,1,human1
8943,4,narrativity,1,human1
8943,4,prompt_adherence,0,human1
8944,4,content,0,human1
8944,4,language,0,human1
8944,4,narrativity,0,human1
8944,4,prompt_adherence,0,human1
8945,4,content,2,human1
8945,4,language,2,human1
8945,4,narrativity,2,human1
8945,4,prompt_adherence,2,human1
8946,4,content,3,human1
8946,4,language,3,human1
