essay_id,essay_set,trait,score,rater
17834,7,content,1,human2
17834,7,conventions,2,human2
17834,7,organization,2,human2
17834,7,style,2,human2
17836,7,content,2,human2
17836,7,conventions,1,human2
17836,7,organization,2,human2
17836,7,style,2,human2
17837,7,content,2,human2
17837,7,conventions,2,human2
17837,7,organization,2,human2
17837,7,style,2,human2
17838,7,content,2,human2
17838,7,conventions,3,human2
17838,7,organization,2,human2
17838,7,style,2,human2
17839,7,content,1,human2
17839,7,conventions,2,human2
17839,7,organization,2,human2
17839,7,style,1,human2
17840,7,content,3,human2
17840,7,conventions,3,human2
17840,7,organization,3,human2
17840,7,style,3,human2
17841,7,content,2,human2
17841,7,conventions,2,human2
17841,7,organization,2,human2
17841,7,style,2,human2
17842,7,content,2,human2
17842,7,conventions,3,human2
17842,7,organization,2,human2
17842,7,style,2,human2
17843,7,content,1,human2
17843,7,conventions,1,human2
17843,7,organization,1,human2
17843,7,style,1,human2
17844,7,content,1,human2
17844,7,conventions,2,human2
17844,7,organization,1,human2
17844,7,style,2,human2
17845,7,content,2,human2
17845,7,conventions,2,human2
17845,7,organization,2,human2
17845,7,style,2,human2
17846,7,content,2,human2
17846,7,conventions,3,human2
17846,7,organization,2,human2
17846,7,style,3,human2
17847,7,content,2,human2
17847,7,conventions,2,human2
17847,7,organization,2,human2
17847,7,style,2,human2
17849,7,content,2,human2
17849,7,conventions,2,human2
17849,7,organization,2,human2
17849,7,style,2,human2
17850,7,content,2,human2
17850,7,conventions,2,human2
17850,7,organization,2,human2
17850,7,style,1,human2
17851,7,content,2,human2
17851,7,conventions,2,human2
17851,7,organization,2,human2
17851,7,style,2,human2
17852,7,content,2,human2
17852,7,conventions,2,human2
17852,7,organization,2,human2
17852,7,style,2,human2
17853,7,content,2,human2
17853,7,conventions,2,human2
17853,7,organization,2,human2
17853,7,style,2,human2
17854,7,content,3,human2
17854,7,conventions,3,human2
17854,7,organization,3,human2
17854,7,style,2,human2
17856,7,content,1,human2
17856,7,conventions,3,human2
17856,7,organization,2,human2
17856,7,style,2,human2
17857,7,content,2,human2
17857,7,conventions,3,human2
17857,7,organization,2,human2
17857,7,style,2,human2
17858,7,content,3,human2
17858,7,conventions,3,human2
17858,7,organization,3,human2
17858,7,style,3,human2
17859,7,content,2,human2
17859,7,conventions,2,human2
17859,7,organization,2,human2
17859,7,style,2,human2
17860,7,content,2,human2
17860,7,conventions,2,human2
17860,7,organization,2,human2
17860,7,style,2,human2
17861,7,content,2,human2
17861,7,conventions,2,human2
17861,7,organization,2,human2
17861,7,style,2,human2
17862,7,content,1,human2
17862,7,conventions,1,human2
17862,7,organization,1,human2
17862,7,style,1,human2
17863,7,content,0,human2
17863,7,conventions,1,human2
17863,7,organization,1,human2
17863,7,style,1,human2
17864,7,content,1,human2
17864,7,conventions,1,human2
17864,7,organization,1,human2
17864,7,style,1,human2
17865,7,content,2,human2
17865,7,conventions,2,human2
17865,7,organization,2,human2
17865,7,style,2,human2
17867,7,content,2,human2
17867,7,conventions,2,human2
17867,7,organization,2,human2
17867,7,style,2,human2
17868,7,content,2,human2
17868,7,conventions,2,human2
17868,7,organization,1,human2
17868,7,style,2,human2
17869,7,content,0,human2
17869,7,conventions,2,human2
17869,7,organization,1,human2
17869,7,style,2,human2
17870,7,content,1,human2
17870,7,conventions,2,human2
17870,7,organization,2,human2
17870,7,style,2,human2
17871,7,content,3,human2
17871,7,conventions,3,human2
17871,7,organization,3,human2
17871,7,style,3,human2
17872,7,content,2,human2
17872,7,conventions,2,human2
17872,7,organization,2,human2
17872,7,style,2,human2
17873,7,content,1,human2
17873,7,conventions,3,human2
17873,7,organization,1,human2
17873,7,style,2,human2
17874,7,content,2,human2
17874,7,conventions,3,human2
17874,7,organization,2,human2
17874,7,style,2,human2
17875,7,content,1,human2
17875,7,conventions,2,human2
17875,7,organization,1,human2
17875,7,style,1,human2
17876,7,content,3,human2
17876,7,conventions,3,human2
17876,7,organization,3,human2
17876,7,style,2,human2
17878,7,content,0,human2
17878,7,conventions,2,human2
17878,7,organization,2,human2
17878,7,style,2,human2
17879,7,content,0,human2
17879,7,conventions,1,human2
17879,7,organization,1,human2
17879,7,style,1,human2
17880,7,content,2,human2
17880,7,conventions,2,human2
17880,7,organization,2,human2
17880,7,style,2,human2
17881,7,content,1,human2
17881,7,conventions,2,human2
17881,7,organization,1,human2
17881,7,style,2,human2
17882,7,content,1,human2
17882,7,conventions,2,human2
17882,7,organization,2,human2
17882,7,style,1,human2
17883,7,content,3,human2
17883,7,conventions,3,human2
17883,7,organization,3,human2
17883,7,style,3,human2
17884,7,content,3,human2
17884,7,conventions,3,human2
17884,7,organization,3,human2
17884,7,style,3,human2
17885,7,content,2,human2
17885,7,conventions,0,human2
17885,7,organization,2,human2
17885,7,style,1,human2
17886,7,content,1,human2
17886,7,conventions,2,human2
17886,7,organization,1,human2
17886,7,style,1,human2
17887,7,content,3,human2
17887,7,conventions,2,human2
17887,7,organization,3,human2
17887,7,style,2,human2
17888,7,content,2,human2
17888,7,conventions,2,human2
17888,7,organization,2,human2
17888,7,style,2,human2
17889,7,content,0,human2
17889,7,conventions,2,human2
17889,7,organization,1,human2
17889,7,style,1,human2
17890,7,content,2,human2
17890,7,conventions,2,human2
17890,7,organization,2,human2
17890,7,style,2,human2
17891,7,content,2,human2
17891,7,conventions,2,human2
17891,7,organization,2,human2
17891,7,style,2,human2
17892,7,content,2,human2
17892,7,conventions,2,human2
17892,7,organization,2,human2
17892,7,style,2,human2
17893,7,content,3,human2
17893,7,conventions,2,human2
17893,7,organization,3,human2
17893,7,style,2,human2
17894,7,content,1,human2
17894,7,conventions,2,human2
17894,7,organization,1,human2
17894,7,style,2,human2
17896,7,content,1,human2
17896,7,conventions,2,human2
17896,7,organization,1,human2
17896,7,style,2,human2
17897,7,content,3,human2
17897,7,conventions,3,human2
17897,7,organization,2,human2
17897,7,style,2,human2
17898,7,content,2,human2
17898,7,conventions,2,human2
17898,7,organization,2,human2
17898,7,style,2,human2
17899,7,content,3,human2
17899,7,conventions,3,human2
17899,7,organization,3,human2
17899,7,style,3,human2
17900,7,content,2,human2
17900,7,conventions,2,human2
17900,7,organization,2,human2
17900,7,style,2,human2
17901,7,content,1,human2
17901,7,conventions,1,human2
17901,7,organization,1,human2
17901,7,style,1,human2
17902,7,content,2,human2
17902,7,conventions,2,human2
17902,7,organization,3,human2
17902,7,style,2,human2
17903,7,content,2,human2
17903,7,conventions,2,human2
17903,7,organization,1,human2
17903,7,style,2,human2
17904,7,content,2,human2
17904,7,conventions,3,human2
17904,7,organization,2,human2
17904,7,style,2,human2
17905,7,content,1,human2
17905,7,conventions,1,human2
17905,7,organization,1,human2
17905,7,style,1,human2
17906,7,content,3,human2
17906,7,conventions,3,human2
17906,7,organization,3,human2
17906,7,style,3,human2
17908,7,content,3,human2
17908,7,conventions,3,human2
17908,7,organization,3,human2
17908,7,style,3,human2
17909,7,content,3,human2
17909,7,conventions,3,human2
17909,7,organization,3,human2
17909,7,style,2,human2
17910,7,content,3,human2
17910,7,conventions,2,human2
17910,7,organization,3,human2
17910,7,style,3,human2
17911,7,content,3,human2
17911,7,conventions,3,human2
17911,7,organization,3,human2
17911,7,style,2,human2
17912,7,content,2,human2
17912,7,conventions,2,human2
17912,7,organization,2,human2
17912,7,style,2,human2
17913,7,content,1,human2
17913,7,conventions,3,human2
17913,7,organization,2,human2
17913,7,style,2,human2
17914,7,content,0,human2
17914,7,conventions,2,human2
17914,7,organization,2,human2
17914,7,style,2,human2
17915,7,content,2,human2
17915,7,conventions,1,human2
17915,7,organization,2,human2
17915,7,style,2,human2
17916,7,content,1,human2
17916,7,conventions,1,human2
17916,7,organization,1,human2
17916,7,style,1,human2
