essay_id,essay_set,trait,score,rater
5978,3,content,0,human1
5978,3,language,1,human1
5978,3,narrativity,1,human1
5978,3,prompt_adherence,0,human1
5979,3,content,3,human1
5979,3,language,2,human1
5979,3,narrativity,2,human1
5979,3,prompt_adherence,3,human1
5980,3,content,2,human1
5980,3,language,2,human1
5980,3,narrativity,1,human1
5980,3,prompt_adherence,2,human1
5981,3,content,0,human1
5981,3,language,0,human1
5981,3,narrativity,0,human1
5981,3,prompt_adherence,1,human1
5982,3,content,1,human1
5982,3,language,1,human1
5982,3,narrativity,1,human1
5982,3,prompt_adherence,1,human1
5983,3,content,1,human1
5983,3,language,1,human1
5983,3,narrativity,1,human1
5983,3,prompt_adherence,1,human1
5984,3,content,0,human1
5984,3,language,1,human1
5984,3,narrativity,1,human1
5984,3,prompt_adherence,0,human1
5985,3,content,0,human1
5985,3,language,0,human1
5985,3,narrativity,0,human1
5985,3,prompt_adherence,0,human1
5986,3,content,2,human1
5986,3,language,2,human1
5986,3,narrativity,2,human1
5986,3,prompt_adherence,2,human1
5987,3,content,3,human1
5987,3,language,2,human1
5987,3,narrativity,3,human1
5987,3,prompt_adherence,3,human1
5988,3,content,3,human1
5988,3,language,2,human1
5988,3,narrativity,3,human1
5988,3,prompt_adherence,3,human1
5989,3,content,1,human1
5989,3,language,2,human1
5989,3,narrativity,2,human1
5989,3,prompt_adherence,1,human1
5990,3,content,2,human1
5990,3,language,3,human1
5990,3,narrativity,3,human1
5990,3,prompt_adherence,2,human1
5991,3,content,1,human1
5991,3,language,1,human1
5991,3,narrativity,1,human1
5991,3,prompt_adherence,1,human1
5992,3,content,1,human1
5992,3,language,1,human1
5992,3,narrativity,2,human1
5992,3,prompt_adherence,2,human1
5993,3,content,1,human1
5993,3,language,1,human1
5993,3,narrativity,1,human1
5993,3,prompt_adherence,1,human1
5994,3,content,1,human1
5994,3,language,1,human1
5994,3,narrativity,1,human1
5994,3,prompt_adherence,1,human1
5995,3,content,2,human1
5995,3,language,3,human1
5995,3,narrativity,3,human1
5995,3,prompt_adherence,2,human1
5996,3,content,2,human1
5996,3,language,2,human1
5996,3,narrativity,2,human1
5996,3,prompt_adherence,2,human1
5997,3,content,2,human1
5997,3,language,2,human1
5997,3,narrativity,2,human1
5997,3,prompt_adherence,2,human1
5998,3,content,2,human1
5998,3,language,2,human1
5998,3,narrativity,2,human1
5998,3,prompt_adherence,2,human1
5999,3,content,0,human1
5999,3,language,0,human1
5999,3,narrativity,0,human1
5999,3,prompt_adherence,0,human1
6000,3,content,3,human1
6000,3,language,2,human1
6000,3,narrativity,3,human1
6000,3,prompt_adherence,2,human1
6001,3,content,0,human1
6001,3,language,0,human1
6001,3,narrativity,0,human1
6001,3,prompt_adherence,1,human1
6002,3,content,2,human1
6002,3,language,2,human1
6002,3,narrativity,2,human1
6002,3,prompt_adherence,2,human1
6003,3,content,3,human1
6003,3,language,3,human1
